,tmdb_id,tconst,title,startYear,genres,budget,revenue,runtimeMinutes,popularity,averageRating,numVotes,production_countries,tagline,overview,poster_path,backdrop_path,bande_annonce,mot_cle,contributeur
2983,512200,tt7975244,Jumanji: Next Level,2019,"Action,Adventure,Comedy",125000000.0,801693929.0,123,96.9,6.7,282579,['US'],,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",https://image.tmdb.org/t/p/original/jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg,https://image.tmdb.org/t/p/original/zTxHf9iIOCqRbxvl8W5QYKrsMLq.jpg,https://youtu.be/F6QaLsw8EWY,"magic,animal attack,body-swap,adventurer,superhuman strength,duringcreditsstinger,action hero,trapped in a game,magic,animal attack,body-swap,adventurer,superhuman strength,duringcreditsstinger,action hero,trapped in a game","Jack Black, Dwayne Johnson"
2984,522444,tt7978672,Black Water: Abyss,2020,"Adventure,Horror,Thriller",0.0,1117982.0,98,44.23,4.6,6794,"['AU', 'US']",Descend into fear.,"An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.",https://image.tmdb.org/t/p/original/pmAv14TPE2vKMIRrVeCd1Ll7K94.jpg,https://image.tmdb.org/t/p/original/fRrpOILyXuWaWLmqF7kXeMVwITQ.jpg,https://youtu.be/ZqE94By0TvE,"australia,cave,animal attack,survival,creature,underwater,nature,crocodile attack,man vs nature,northern territory,australia,cave,animal attack,survival,creature,underwater,nature,crocodile attack,man vs nature,northern territory",Luke Mitchell
2985,501929,tt7979580,Les Mitchell contre les machines,2021,"Adventure,Animation,Comedy",75000000.0,0.0,114,26.504,7.6,126492,"['HK', 'US']",Saving the world can be a trip.,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",https://image.tmdb.org/t/p/original/mI2Di7HmskQQ34kz0iau6J1vr70.jpg,https://image.tmdb.org/t/p/original/6ydGnzbo8s4yRNqQWPAvVSiNU8N.jpg,https://youtu.be/_ak5dFt8Ar0,"man vs machine,technology,dysfunctional family,family relationships,family drama,father daughter conflict,evil robot,man vs machine,technology,dysfunctional family,family relationships,family drama,father daughter conflict,evil robot","Fred Armisen, Maya Rudolph"
2986,739405,tt7985704,Opération Fortune : Ruse de guerre,2023,"Action,Comedy,Thriller",50000000.0,37846713.0,114,169.659,6.3,84953,"['CN', 'TR', 'GB', 'US']","In this operation, everyone has a part to play.",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,https://image.tmdb.org/t/p/original/uo7vWfQUlVwueYTDRicXOJa8Oow.jpg,https://image.tmdb.org/t/p/original/7TdVWAO7vV9j1OLDq1hQJS3pb4U.jpg,https://youtu.be/WdZ-BWWQcWQ,"martial arts,london, england,showdown,madrid, spain,espionage,spy,secret agent,shootout,cannes, france,martial arts,london, england,showdown,madrid, spain,espionage,spy,secret agent,shootout,cannes, france","Cary Elwes, Jason Statham"
2987,512195,tt7991608,Red Notice,2021,"Action,Comedy,Thriller",160000000.0,178143.0,118,80.982,6.3,317332,['US'],Pro and cons.,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",https://image.tmdb.org/t/p/original/lAXONuqg41NwUMuzMiFvicDET9Y.jpg,https://image.tmdb.org/t/p/original/dK12GIdhGP6NPGFssK2Fh265jyr.jpg,https://youtu.be/Pj0wz7zu3Ms,"fbi,interpol,cleopatra,heist,art thief","Dwayne Johnson, Dwayne Johnson"
2988,527729,tt8001346,Astérix: Le secret de la potion magique,2018,"Adventure,Animation,Comedy",0.0,47349002.0,87,12.536,6.7,11297,['FR'],,"Following a fall during mistletoe picking, Druid Getafix decides that it is time to secure the future of the village. Accompanied by Asterix and Obelix, he undertakes to travel the Gallic world in search of a talented young druid to transmit the Secret of the Magic Potion.",https://image.tmdb.org/t/p/original/wmMq5ypRNJbWpdhC9aPjpdx1MMp.jpg,https://image.tmdb.org/t/p/original/kAWcTZA6sbdR5ORwsHxHzsr7PXF.jpg,https://youtu.be/5XuY0CktY-0,"roman empire,based on comic","Christian Clavier, Bernard Alane"
2989,508138,tt8009314,Burn,2019,"Comedy,Crime,Thriller",0.0,25373.0,88,16.014,5.7,7064,['US'],Hell of a night,"Lonely, unstable gas station attendant Melinda is tired of being overshadowed by her more confident, outgoing co-worker Sheila. When the gas station is held up at gunpoint by Billy, a desperate man in need of quick cash, Melinda finds an opportunity to make a connection with the robber, regardless of who gets hurt.",https://image.tmdb.org/t/p/original/ifSMo5x7SDXpettRt8TWY9EOquM.jpg,https://image.tmdb.org/t/p/original/3C14xx4RteMksSUwgYfI52B8Iu6.jpg,https://youtu.be/Icb1Y_ZrKpk,"robbery,gas station,manipulation,loneliness,attempted rape,blue collar worker,escapee,petrol station","Josh Hutcherson, Ash Christian"
2990,507250,tt8019518,Dead Shot,2023,"Action,Thriller",0.0,0.0,92,15.644,5.5,2553,['GB'],,"In the 1970s, a member of the IRA takes over an Active Service Unit in London after his wife is accidentally shot dead in Ireland. The unit's mission is to cause chaos and destruction, while his personal aim is to hunt down his wife’s killer — an SAS captain, who is also hunting him.",https://image.tmdb.org/t/p/original/aiPIZowq1Wxsse9LcGwqn6Af9eb.jpg,https://image.tmdb.org/t/p/original/hS5VMrAKHx22k1vKAFxjWwNIG4t.jpg,https://youtu.be/XggLOjQCaEs,,"Mark Strong, Aml Ameen"
2991,550738,tt8028842,Spycies,2019,"Action,Animation,Comedy",0.0,6928960.0,99,13.3,5.5,1092,"['CN', 'FR']",Get Ready For Mission Impawsible!,"Vladimir and Hector, two secret agents opposed in every way, are trying to recover a top secret material stolen by unknown intruders.",https://image.tmdb.org/t/p/original/yfrB9E1hiXU4D4Axw4DpIZtUqRf.jpg,https://image.tmdb.org/t/p/original/3nQrVnuYy0qDnyKT3EiedkCK1hg.jpg,https://youtu.be/9DsG8ctWp9A,"secret agent,animal","Debi Derryberry, Kirk Thornton"
2992,613178,tt8031130,Shadow Wolves,2019,"Action,Adventure,Thriller",0.0,0.0,95,6.029,3.3,510,['US'],,A rogue NSA agent joins an elite group of Native American trackers who call themselves the Shadow Wolves as they engage in missions to protect justice in America and abroad.,https://image.tmdb.org/t/p/original/xPLyuKO74kbFS6PmSUKLsJHnLHa.jpg,https://image.tmdb.org/t/p/original/8QL9d851z1RAKL6ceItS0i4dA3S.jpg,https://youtu.be/kd1zfLRtvGc,"native american,tracker,nsa agent","Graham Greene, Cody Walker"
